"","tmp","dt1","dt2"
"1",0.3,2.1576819954318,2.31867020857212
"2",0.394529048479463,2.5766932905263,2.77576745703583
"3",0.489058096958926,2.47511266801547,2.67689153628954
"4",0.583587145438389,2.50897664205524,2.71925126234339
"5",0.678116193917852,2.54385240844028,2.75599662354979
"6",0.772645242397316,2.57880007271472,2.78639498528544
"7",0.867174290876779,2.61420431261728,2.81189778137635
"8",0.961703339356242,2.65010632070951,2.83404944571112
"9",1.0562323878357,2.68632209346079,2.85446390844878
"10",1.15076143631517,2.72234777505527,2.87461975648889
"11",1.24529048479463,2.75742635768019,2.89491735273838
"12",1.33981953327409,2.79163858611715,2.91535826965231
"13",1.43434858175356,2.82512483580322,2.93594351921321
"14",1.52887763023302,2.85799842803652,2.95667412054919
"15",1.62340667871248,2.89035184001947,2.97755109998438
"16",1.71793572719195,2.92226192160479,2.99857549108978
"17",1.81246477567141,2.9537927282911,3.01974833473436
"18",1.90699382415087,2.98499848052706,3.04107067913665
"19",2.00152287263034,3.01592567569165,3.06254357991664
"20",2.0960519211098,3.04661361005546,3.08416810014799
"21",2.19058096958926,3.07709752703875,3.10594531041068
"22",2.28511001806873,3.10740755446861,3.12787628884406
"23",2.37963906654819,3.13757048368626,3.14996212120015
"24",2.47416811502765,3.16761021584339,3.17220390089744
"25",2.56869716350711,3.19754809721048,3.19460272907502
"26",2.66322621198658,3.22740316451184,3.21715971464708
"27",2.75775526046604,3.25719277071086,3.23987597435782
"28",2.8522843089455,3.28693275956725,3.26275263283674
"29",2.94681335742497,3.31663736727327,3.28579082265429
"30",3.04134240590443,3.34631958302533,3.308991684378
"31",3.13587145438389,3.37599188041152,3.33235636662886
"32",3.23040050286336,3.40566526308786,3.35588602613829
"33",3.32492955134282,3.43535007635606,3.37958182780531
"34",3.41945859982228,3.46505589684363,3.40344494475428
"35",3.51398764830175,3.49479165237377,3.42747655839293
"36",3.60851669678121,3.52456566498096,3.45167785847091
"37",3.70304574526067,3.55438588358286,3.4760500431386
"38",3.79757479374013,3.58425919277402,3.50059431900652
"39",3.8921038422196,3.61419278557805,3.52531190120502
"40",3.98663289069906,3.64419305577841,3.55020401344445
"41",4.08116193917852,3.67426611924391,3.57527188807571
"42",4.17569098765799,3.70441772064356,3.60051676615133
"43",4.27022003613745,3.73465330155014,3.62593989748683
"44",4.36474908461691,3.76497802952297,3.65154254072268
"45",4.45927813309638,3.79539747464161,3.67732596338654
"46",4.55380718157584,3.82591439895974,3.70329144195604
"47",4.6483362300553,3.85653522652716,3.729440261922
"48",4.74286527853477,3.8872636105801,3.75577371785203
"49",4.83739432701423,3.91810379876913,3.78229311345464
"50",4.93192337549369,3.94905949952537,3.80899976164379
