"","tmp","dt1","dt2"
"1",0.3,2.00444397587141,1.84382942357517
"2",0.364779892417013,2.18325219062166,2.05524941878769
"3",0.429559784834025,2.04067043340367,1.99243722925314
"4",0.494339677251038,1.76528825313888,1.78366287969467
"5",0.55911956966805,1.65947500119327,1.72507154164936
"6",0.623899462085063,1.64442993369235,1.74934456545393
"7",0.688679354502076,1.66135451854492,1.79989584953442
"8",0.753459246919088,1.67662577680589,1.8418651143181
"9",0.818239139336101,1.68787156293171,1.87291197357257
"10",0.883019031753113,1.69527766820987,1.89366249397727
"11",0.947798924170126,1.69906267456034,1.9049782748267
"12",1.01257881658714,1.69947248171782,1.90790297552998
"13",1.07735870900415,1.69677449638903,1.90360975894605
"14",1.14213860142116,1.69125308500241,1.89335263922257
"15",1.20691849383818,1.6832041027875,1.87842394721403
"16",1.27169838625519,1.67293058247527,1.86011936325017
"17",1.3364782786722,1.6608422878975,1.83971128381904
"18",1.40125817108921,1.64786373542282,1.81843070069509
"19",1.46603806350623,1.63485370731701,1.79723453317555
"20",1.53081795592324,1.62195913680069,1.77628543447054
"21",1.59559784834025,1.60917771628258,1.75558052467267
"22",1.66037774075726,1.59650732700194,1.73511695744365
"23",1.72515763317428,1.58394607377209,1.7148919196229
"24",1.78993752559129,1.57149204987852,1.6949026308409
"25",1.8547174180083,1.55914362540731,1.67514634313696
"26",1.91949731042532,1.54689922398893,1.6556203405814
"27",1.98427720284233,1.53475735770836,1.63632193890225
"28",2.04905709525934,1.52271661329423,1.61724848511618
"29",2.11383698767635,1.51077569276121,1.59839735716385
"30",2.17861688009337,1.49893321344281,1.57976596354941
"31",2.24339677251038,1.48718807254802,1.56135174298425
"32",2.30817666492739,1.47553907890925,1.5431521640349
"33",2.3729565573444,1.46398509914056,1.52516472477504
"34",2.43773644976142,1.45252507971875,1.50738695244152
"35",2.50251634217843,1.4411579829178,1.48981640309449
"36",2.56729623459544,1.42988281078819,1.47245066128136
"37",2.63207612701245,1.41869859882176,1.45528733970476
"38",2.69685601942947,1.40760441211949,1.43832407889441
"39",2.76163591184648,1.39659934332829,1.42155854688267
"40",2.82641580426349,1.38568250959109,1.40498843888403
"41",2.8911956966805,1.37485305168729,1.38861147697824
"42",2.95597558909752,1.36411013164023,1.37242540979716
"43",3.02075548151453,1.35345294339959,1.35642801221527
"44",3.08553537393154,1.34288066798935,1.34061708504377
"45",3.15031526634855,1.33239252664273,1.32499045472825
"46",3.21509515876557,1.321987755284,1.30954597304991
"47",3.27987505118258,1.31166560460059,1.29428151683022
"48",3.34465494359959,1.3014253376985,1.27919498763904
"49",3.40943483601661,1.29126622987872,1.26428431150616
"50",3.47421472843362,1.2811875690064,1.24954743863618
